orcid,filiacao orcid,filiacao padronizada
orcid.org/0000-0003-1783-4231,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-8824-3055,Universidade Estadual Paulista,Universidade Estadual Paulista
orcid.org/0000-0002-9539-6874,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-8803-0401,UNICAMP,Universidade Estadual de Campinas
orcid.org/0000-0003-3738-6448,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-9772-263X,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0125-630X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3589-1619,Universidade Federal do Rio Grande do Sul,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0003-2608-4807,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-5201-1244,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-4321-9075,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9068-938X,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-4236-8212,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-9104-613X,no info,Insper
orcid.org/0000-0002-5243-0921,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-4869-5190,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-0375-1657,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0003-3861-7260,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7779-1950,Instituto Federal de Educação Ciência e Tecnologia de São Paulo,Instituto Federal de Educação Ciência e Tecnologia de São Paulo
orcid.org/0000-0002-3891-1593,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-8309-6367,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-9666-3954,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-2914-5380,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9084-7173,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6023-5982,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-9209-7764,no info,Universidade Federal de São Carlos
orcid.org/0000-0001-6305-9059,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6494-7514,no info,Universidade Estadual Paulista
orcid.org/0000-0002-1756-4852,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-7008-4092,University Medical Center Groningen,University of Groningen
orcid.org/0000-0002-9545-2098,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0002-3372-3366,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-1908-4753,Universidade Estadual de Campinas Instituto de Computação,Universidade Estadual de Campinas
orcid.org/0000-0003-2162-6523,no info,Universidade Federal do Pará
orcid.org/0000-0002-1180-2637,UNICAMP - University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-9957-5861,Universidade Federal do Rio Grande do Sul,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0002-6044-4012,no info,University of Coimbra
orcid.org/0000-0002-7603-9695,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6540-8686,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-2592-3664,Universidade Tecnológica Federal do Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0003-4555-5598,no info,Universidade Federal de Santa Catarina
orcid.org/0000-0002-8972-080X,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-0472-4810,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-4861-7061,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade Estadual Paulista
orcid.org/0000-0002-4248-2744,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-4830-5298,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-2431-8457,Sociedade Brasileira de Computação,Sociedade Brasileira de Computação
orcid.org/0000-0002-3823-8941,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-1001-082X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-1979-7817,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-8522-2056,Pontifícia Universidade Católica de Minas Gerais,Pontifícia Universidade Católica de Minas Gerais
orcid.org/0000-0002-6197-2626,Microsoft Research,Microsoft Research
orcid.org/0000-0003-4290-6508,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-0796-3868,Instituto Nacional de Pesquisas Espaciais,Instituto Nacional de Pesquisas Espaciais
orcid.org/0000-0002-8603-699X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-8881-1657,Federal University of Technology - Paraná (UTFPR),Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-1953-9132,Universidade Federal de Ouro Preto,Universidade Federal de Ouro Preto
orcid.org/0000-0003-0467-3133,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-2046-602X,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-3159-4839,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-2277-4632,no info,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-3152-4523,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0750-0502,no info,Utrecht University
