,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_nome,orientador_país,orientador_keyword_1,row_idx,avaliador2_filiação,avaliador2_nome,avaliador2_país,orientador_filiação,avaliador1_filiação,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_2,orientador_keyword_3,avaliador1_nome,avaliador1_país,orientador_keyword_4,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador3_keyword_1,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5,avaliador3_keyword_6,avaliador3_keyword_7,avaliador4_keyword_5,avaliador4_keyword_6
0,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1266276,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-1941-6036,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,0,Universidade Estadual de Campinas,Marco Antonio Garcia de Carvalho,Brazil,University of Campinas,sem orcid,image segmentation,graphs,image processing,digital education,pattern recognition,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1267345,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0040-0752,orcid.org/0000-0003-0499-2564,,,,Alexandre Falcao,Brazil,image processing,1,Universidade Estadual de Campinas (UNICAMP),Marcos M. Raimundo,no info,Universidade Estadual de Campinas,no info,,,,,, visualization, and analysis,"Nunes, FLS",Brazil, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1297927?,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-2836-2009,,,,Lucas Wanner,no info,,2,Federal University of Santa Maria,Mateus Beck Rutzig,no info,University of Campinas,UNICAMP,,,,,,,,Rodolfo Azevedo,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1313377,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-8229-3139,orcid.org/0000-0003-1001-082X,,,,Rafael C. S. Schouery,no info,,3,University of Campinas,Lehilton Pedrosa,no info,Universidade Estadual de Campinas,Universidade de São Paulo,,,,,,,,Yoshiko Wakabayashi,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1313341,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-8385-8859,sem orcid,,,,Esther Luna Colombini,no info,,4,sem orcid,sem orcid,sem orcid,Universidade Estadual de Campinas,Universidade Federal do Pará,,,,,,,,Luanna Tomaz,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1338672,orcid.org/0000-0002-3372-3366,orcid.org/0000-0001-6305-9059,sem orcid,,,,Leandro Villas,Brazil,,5,sem orcid,sem orcid,sem orcid,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,Luiz Fernando Bittencourt,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341471,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-9176-8709,orcid.org/0000-0001-8309-6367,,,,Claudia Medeiros,Brazil,Scientific data management,6,Universidade Estadual de Campinas,Ariadne Carvalho,no info,Universidade Estadual de Campinas Instituto de Computação,Universidade de São Paulo Câmpus de São Carlos,,,,,, Data interoperability, Open Science,Kamila Rios da Hora Rodrigues,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1342249,orcid.org/0000-0003-1214-3431,orcid.org/0000-0002-4694-7182,orcid.org/0000-0001-6305-9059,,,,Hervé Yviquel,Brazil,Parallel Computing,7,Universidade Estadual de Campinas,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,National Academy for Scientific Research,,,,,,High Performance Computing,Parallel Programming Model,Carla Osthoff,no info,Compilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1342942,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-9577-9309,,,,Julio Cesar Lopez Hernandez,Mexico,,8,no info,Eduardo Morais,no info,no info,Universidade Estadual de Campinas,,,,,,,,Edson Borin,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1344257,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-1756-4852,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,9,Universidade Estadual de Campinas,André Santanchè,no info,University of Campinas,sem orcid,,,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1346037,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-7941-6281,orcid.org/0000-0001-9772-263X,,,,André Santanchè,no info,,10,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,Universidade Federal de Santa Catarina,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,Renato Fileto,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347033,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0968-5320,orcid.org/0000-0003-1323-0502,,,,Esther Luna Colombini,no info,,11,Instituto Militar de Engenharia,Paulo Rosa,no info,Universidade Estadual de Campinas,no info,,,,,,,,Anderson Anjos da Silva,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371803,orcid.org/0000-0002-7002-875X,orcid.org/0000-0003-3551-4063,orcid.org/0000-0001-5227-7165,,,,Ricardo Dahab,Brazil,Cryptography,12,Universidade de São Paulo,Marcos Simplicio,Brazil,University of Campinas,Carleton University,,,,,, Graph Theory,,Daniel Panario,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371723,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-2111-1319,,,,,Adín Ramírez Rivera,Norway,,13,,,,Universidade Estadual de Campinas,University of São Paulo,,,,,,,,"Pardo, T.A.S.",Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1362019,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-8781-3914,orcid.org/0000-0002-8603-699X,,,,Luiz Fernando Bittencourt,no info,,14,University of Campinas,Juliana Freitag Borin,Brazil,Universidade Estadual de Campinas,Federal University of Uberlândia,Internet of Things, Smart Cities, Computer network protocols,,,,,Rafael Pasquini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371384,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-4971-7355,,,,,Rafael C. S. Schouery,no info,,15,,,,Universidade Estadual de Campinas,Universidade de São Paulo,,,,,,,,Daniel Cordeiro,Brazil,,,,,,,,,,,Scheduling, Parallel Computing, Distributed Systems, Grid and Cloud Computing,,,,,,,,,,,,,,,,
16,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1372592,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-4268-9726,orcid.org/0000-0002-9539-6874,,,,Rodolfo Azevedo,Brazil,,16,Universidade Estadual de Campinas,Sandro Rigo,Brazil,UNICAMP,no info,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,Eduardo Lima,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1373789,orcid.org/0000-0002-4531-1473,orcid.org/0000-0002-8923-2814,orcid.org/0000-0002-9908-4384,,,,Breno Bernard Nicolau de França,Brazil,Empirical Software Engineering,17,Universidade Estadual de Campinas,Bruno Cafeo,Brazil,Universidade Estadual de Campinas,Federal University of São Paulo,,,,,,Continuous Software Engineering,Software Architecture,Paulo Meirelles,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
