orcid, nome, genero
orcid.org/0000-0003-1783-4231, Edson Borin, 
orcid.org/0000-0001-8824-3055, Alexandro Baldassin, 
orcid.org/0000-0002-9539-6874, Sandro Rigo, 
orcid.org/0000-0002-8803-0401, Rodolfo Azevedo, 
orcid.org/0000-0003-3738-6448, Bruno Albertini, 
orcid.org/0000-0001-9772-263X, Ricardo Torres, 
orcid.org/0000-0003-0125-630X, Helio Pedrini, 
orcid.org/0000-0003-3589-1619, Renata Galante, 
orcid.org/0000-0003-2608-4807, Guilherme P. Telles, 
orcid.org/0000-0001-5201-1244, Jacques Wainer, 
orcid.org/0000-0002-4321-9075, Adín Ramírez Rivera, 
orcid.org/0000-0001-9068-938X, Sandra Avila, 
orcid.org/0000-0002-4236-8212, Anderson Rocha, 
orcid.org/0000-0002-9104-613X, Tiago Fernandes Tavares, 
orcid.org/0000-0002-5243-0921, Fernanda Andaló, 
orcid.org/0000-0003-4869-5190, Guido Araujo, 
orcid.org/0000-0002-0375-1657, Fernando Magno Quintão Pereira, 
orcid.org/0000-0003-3861-7260, Roberto Hirata Jr., 
orcid.org/0000-0002-7779-1950, Tiago Carvalho, 
orcid.org/0000-0002-3891-1593, mario cortes, 
orcid.org/0000-0001-8309-6367, Ariadne Carvalho, 
orcid.org/0000-0002-9666-3954, Ricardo Gudwin, 
orcid.org/0000-0002-2914-5380, Alexandre Falcao, 
orcid.org/0000-0001-9084-7173, clarissa yasuda, 
orcid.org/0000-0002-6023-5982, Islene Calciolari Garcia, 
orcid.org/0000-0002-9209-7764, Gustavo Maciel Dias Vieira, 
orcid.org/0000-0001-6305-9059, Luiz Fernando Bittencourt, 
orcid.org/0000-0002-6494-7514, João Paulo Papa, 
orcid.org/0000-0002-1756-4852, André Santanchè, 
orcid.org/0000-0001-7008-4092, Marco Antonio Carvalho Filho, 
orcid.org/0000-0002-9545-2098, Julio Cesar Dos Reis, 
orcid.org/0000-0002-3372-3366, Leandro Villas, 
orcid.org/0000-0003-1908-4753, Claudia Medeiros, 
orcid.org/0000-0003-2162-6523, Eduardo Cerqueira, 
orcid.org/0000-0002-1180-2637, Edmundo Madeira, 
orcid.org/0000-0002-9957-5861, Philippe Navaux, 
orcid.org/0000-0002-6044-4012, Nuno Antunes, 
orcid.org/0000-0002-7603-9695, Leonardo Montecchi, 
orcid.org/0000-0002-6540-8686, Paulo de Geus, 
orcid.org/0000-0003-2592-3664, Carlos Maziero, 
orcid.org/0000-0003-4555-5598, Bernardo Flores, 
orcid.org/0000-0002-8972-080X, Fábio Usberti, 
orcid.org/0000-0002-0472-4810, Rafael C. S. Schouery, 
orcid.org/0000-0003-4861-7061, Aparecido Nilceu Marana, 
orcid.org/0000-0002-4248-2744, Heiko Hornung, 
orcid.org/0000-0002-4830-5298, Maria Cecilia Calani Baranauskas, 
orcid.org/0000-0002-2431-8457, Cristiano  Maciel, 
orcid.org/0000-0002-3823-8941, Luiz Eduardo Buzato, 
orcid.org/0000-0003-1001-082X, Lehilton Pedrosa, 
orcid.org/0000-0003-1979-7817, Tiago Coimbra, 
orcid.org/0000-0001-8522-2056, Silvio GUIMARAES, 
orcid.org/0000-0002-6197-2626, T. V. Spina, 
orcid.org/0000-0003-4290-6508, Eliane Martins, 
orcid.org/0000-0002-0796-3868, Fátima Mattiello-Francisco, 
orcid.org/0000-0002-8603-699X, Juliana Freitag Borin, 
orcid.org/0000-0001-8881-1657, Roberto Sadao Yokoyama, 
orcid.org/0000-0002-1953-9132, Daniel L. Guidoni, 
orcid.org/0000-0003-0467-3133, Esther Luna Colombini, 
orcid.org/0000-0003-2046-602X, Nelson L. S. da Fonseca, 
orcid.org/0000-0002-3159-4839, Jorge Stolfi, 
orcid.org/0000-0003-2277-4632, Rodrigo Minetto, 
orcid.org/0000-0002-3152-4523, Shin-Ting Wu, 
orcid.org/0000-0003-0750-0502, Alexandru Cristian Telea, 
orcid.org/0000-0003-3441-0887, Rodrigo Bonacin, 
orcid.org/0000-0002-6731-1482, Julio Cesar Lopez Hernandez, 
orcid.org/0000-0001-5227-7165, Marcos Simplicio, 
orcid.org/0000-0002-7002-875X, Ricardo Dahab, 
